x y z
-0.93 1.78 0.9 1.75
-0.48 1.42 2.4 3.35
-0.5 1.5 2.24 3.24
-0.53 1.57 2.09 3.13
-0.55 1.63 1.93 3.01
-0.57 1.69 1.77 2.9
-0.59 1.75 1.62 2.78
-0.6 1.8 1.47 2.67
-0.62 1.84 1.32 2.55
-0.63 1.87 1.18 2.42
-0.64 1.89 1.04 2.29
-0.64 1.9 0.9 2.16
-0.25 1.48 2.4 3.63
-0.26 1.55 2.24 3.54
-0.27 1.63 2.09 3.44
-0.28 1.7 1.93 3.34
-0.29 1.76 1.77 3.24
-0.3 1.82 1.62 3.14
-0.31 1.87 1.47 3.03
-0.32 1.91 1.32 2.92
-0.32 1.95 1.18 2.8
-0.33 1.97 1.04 2.68
-0.33 1.97 0.9 2.55
0.0 1.5 2.4 3.9
0.0 1.57 2.24 3.82
0.0 1.65 2.09 3.73
0.0 1.72 1.93 3.65
0.0 1.78 1.77 3.56
0.0 1.84 1.62 3.47
0.0 1.9 1.47 3.37
0.0 1.94 1.32 3.26
0.0 1.97 1.18 3.15
0.0 1.99 1.04 3.03
0.0 2.0 0.9 2.9
0.0 1.5 2.4 3.9
0.0 1.57 2.24 3.82
0.0 1.65 2.09 3.73
0.0 1.72 1.93 3.65
0.0 1.78 1.77 3.56
0.0 1.84 1.62 3.47
0.0 1.9 1.47 3.37
0.0 1.94 1.32 3.26
0.0 1.97 1.18 3.15
0.0 1.99 1.04 3.03
0.0 2.0 0.9 2.9
0.25 1.48 2.4 4.13
0.26 1.55 2.24 4.06
0.27 1.63 2.09 3.98
0.28 1.7 1.93 3.91
0.29 1.76 1.77 3.83
0.3 1.82 1.62 3.74
0.31 1.87 1.47 3.65
0.32 1.91 1.32 3.56
0.32 1.95 1.18 3.45
0.33 1.97 1.04 3.33
0.33 1.97 0.9 3.2
0.48 1.42 2.4 4.3
0.5 1.5 2.24 4.24
0.53 1.57 2.09 4.18
0.55 1.63 1.93 4.11
0.57 1.69 1.77 4.04
0.59 1.75 1.62 3.96
0.6 1.8 1.47 3.88
0.62 1.84 1.32 3.78
0.63 1.87 1.18 3.68
0.64 1.89 1.04 3.57
0.64 1.9 0.9 3.44
0.69 1.33 2.4 4.43
0.73 1.4 2.24 4.37
0.76 1.47 2.09 4.32
0.8 1.53 1.93 4.25
0.83 1.59 1.77 4.19
0.85 1.64 1.62 4.12
0.88 1.69 1.47 4.04
0.9 1.73 1.32 3.95
0.91 1.75 1.18 3.85
0.92 1.77 1.04 3.73
0.93 1.78 0.9 3.61
0.89 1.21 2.4 4.5
0.94 1.27 2.24 4.45
0.98 1.33 2.09 4.4
1.02 1.39 1.93 4.34
1.06 1.44 1.77 4.28
1.1 1.49 1.62 4.21
1.13 1.53 1.47 4.13
1.15 1.57 1.32 4.04
1.17 1.6 1.18 3.95
1.18 1.61 1.04 3.83
1.19 1.62 0.9 3.71
1.07 1.07 2.4 4.53
1.12 1.12 2.24 4.48
1.17 1.17 2.09 4.43
1.22 1.22 1.93 4.37
1.27 1.27 1.77 4.31
1.31 1.31 1.62 4.24
1.35 1.35 1.47 4.16
1.38 1.38 1.32 4.08
1.4 1.4 1.18 3.98
1.41 1.41 1.04 3.87
1.42 1.42 0.9 3.74
1.21 0.89 2.4 4.5
1.27 0.94 2.24 4.45
1.33 0.98 2.09 4.4
1.39 1.02 1.93 4.34
1.44 1.06 1.77 4.28
1.49 1.1 1.62 4.21
1.53 1.13 1.47 4.13
1.57 1.15 1.32 4.04
1.6 1.17 1.18 3.95
1.61 1.18 1.04 3.83
1.62 1.19 0.9 3.71
1.33 0.69 2.4 4.43
1.4 0.73 2.24 4.37
1.47 0.76 2.09 4.32
1.53 0.8 1.93 4.25
1.59 0.83 1.77 4.19
1.64 0.85 1.62 4.12
1.69 0.88 1.47 4.04
1.73 0.9 1.32 3.95
1.75 0.91 1.18 3.85
1.77 0.92 1.04 3.73
1.78 0.93 0.9 3.61
1.42 0.48 2.4 4.3
1.5 0.5 2.24 4.24
1.57 0.53 2.09 4.18
1.63 0.55 1.93 4.11
1.69 0.57 1.77 4.04
1.75 0.59 1.62 3.96
1.8 0.6 1.47 3.88
1.84 0.62 1.32 3.78
1.87 0.63 1.18 3.68
1.89 0.64 1.04 3.57
1.9 0.64 0.9 3.44
1.48 0.25 2.4 4.13
1.55 0.26 2.24 4.06
1.63 0.27 2.09 3.98
1.7 0.28 1.93 3.91
1.76 0.29 1.77 3.83
1.82 0.3 1.62 3.74
1.87 0.31 1.47 3.65
1.91 0.32 1.32 3.56
1.95 0.32 1.18 3.45
1.97 0.33 1.04 3.33
1.97 0.33 0.9 3.2
1.5 0.0 2.4 3.9
1.57 0.0 2.24 3.82
1.65 0.0 2.09 3.73
1.72 0.0 1.93 3.65
1.78 0.0 1.77 3.56
1.84 0.0 1.62 3.47
1.9 0.0 1.47 3.37
1.94 0.0 1.32 3.26
1.97 0.0 1.18 3.15
1.99 0.0 1.04 3.03
2.0 0.0 0.9 2.9
2.0 0.0 0.9 2.9
1.99 0.0 0.77 2.76
1.95 0.0 0.66 2.6
1.89 0.0 0.55 2.45
1.82 0.0 0.46 2.29
1.75 0.0 0.38 2.13
1.68 0.0 0.32 1.99
1.61 0.0 0.26 1.87
1.55 0.0 0.21 1.77
1.51 0.0 0.18 1.69
1.5 0.0 0.15 1.65
1.97 -0.33 0.9 2.55
1.96 -0.33 0.77 2.41
1.92 -0.32 0.66 2.26
1.87 -0.31 0.55 2.11
1.8 -0.3 0.46 1.96
1.73 -0.29 0.38 1.82
1.65 -0.27 0.32 1.7
1.59 -0.26 0.26 1.58
1.53 -0.25 0.21 1.49
1.49 -0.25 0.18 1.42
1.48 -0.25 0.15 1.38
1.9 -0.64 0.9 2.16
1.89 -0.63 0.77 2.02
1.85 -0.62 0.66 1.89
1.8 -0.6 0.55 1.75
1.73 -0.58 0.46 1.61
1.66 -0.56 0.38 1.49
1.59 -0.53 0.32 1.37
1.53 -0.51 0.26 1.27
1.47 -0.5 0.21 1.19
1.44 -0.48 0.18 1.13
1.42 -0.48 0.15 1.1
1.78 -0.93 0.9 1.75
1.77 -0.92 0.77 1.62
1.73 -0.9 0.66 1.49
1.68 -0.88 0.55 1.36
1.62 -0.84 0.46 1.24
1.56 -0.81 0.38 1.13
1.49 -0.78 0.32 1.03
1.43 -0.74 0.26 0.95
1.38 -0.72 0.21 0.88
1.35 -0.7 0.18 0.82
1.33 -0.69 0.15 0.79
1.62 -1.19 0.9 1.33
1.61 -1.18 0.77 1.2
1.58 -1.16 0.66 1.08
1.53 -1.12 0.55 0.96
1.48 -1.08 0.46 0.86
1.42 -1.04 0.38 0.76
1.36 -1.0 0.32 0.68
1.3 -0.96 0.26 0.61
1.26 -0.92 0.21 0.55
1.23 -0.9 0.18 0.5
1.21 -0.89 0.15 0.47
1.42 -1.42 0.9 0.9
1.41 -1.41 0.77 0.77
1.38 -1.38 0.66 0.66
1.34 -1.34 0.55 0.55
1.3 -1.3 0.46 0.46
1.24 -1.24 0.38 0.38
1.19 -1.19 0.32 0.32
1.14 -1.14 0.26 0.26
1.1 -1.1 0.21 0.21
1.07 -1.07 0.18 0.18
1.07 -1.07 0.15 0.15
1.19 -1.62 0.9 0.47
1.18 -1.61 0.77 0.34
1.16 -1.58 0.66 0.24
1.12 -1.53 0.55 0.15
1.08 -1.48 0.46 0.07
1.04 -1.42 0.38 0.01
1.0 -1.36 0.32 -0.04
0.96 -1.3 0.26 -0.09
0.92 -1.26 0.21 -0.12
0.9 -1.23 0.18 -0.15
0.89 -1.21 0.15 -0.17
0.93 -1.78 0.9 0.05
0.92 -1.77 0.77 -0.08
0.9 -1.73 0.66 -0.18
0.88 -1.68 0.55 -0.25
0.84 -1.62 0.46 -0.32
0.81 -1.56 0.38 -0.36
0.78 -1.49 0.32 -0.4
0.74 -1.43 0.26 -0.43
0.72 -1.38 0.21 -0.45
0.7 -1.35 0.18 -0.47
0.69 -1.33 0.15 -0.49
0.64 -1.9 0.9 -0.36
0.63 -1.89 0.77 -0.48
0.62 -1.85 0.66 -0.57
0.6 -1.8 0.55 -0.64
0.58 -1.73 0.46 -0.69
0.56 -1.66 0.38 -0.72
0.53 -1.59 0.32 -0.74
0.51 -1.53 0.26 -0.75
0.5 -1.47 0.21 -0.77
0.48 -1.44 0.18 -0.78
0.48 -1.42 0.15 -0.8
0.33 -1.97 0.9 -0.75
0.33 -1.96 0.77 -0.86
0.32 -1.92 0.66 -0.95
0.31 -1.87 0.55 -1.0
0.3 -1.8 0.46 -1.04
0.29 -1.73 0.38 -1.06
0.27 -1.65 0.32 -1.06
0.26 -1.59 0.26 -1.06
0.25 -1.53 0.21 -1.06
0.25 -1.49 0.18 -1.07
0.25 -1.48 0.15 -1.08
0.0 -2.0 0.9 -1.1
0.0 -1.99 0.77 -1.21
0.0 -1.95 0.66 -1.29
0.0 -1.89 0.55 -1.34
0.0 -1.82 0.46 -1.36
0.0 -1.75 0.38 -1.37
0.0 -1.68 0.32 -1.36
0.0 -1.61 0.26 -1.35
0.0 -1.55 0.21 -1.34
0.0 -1.51 0.18 -1.34
0.0 -1.5 0.15 -1.35
0.0 -2.0 0.9 -1.1
0.0 -1.99 0.77 -1.21
0.0 -1.95 0.66 -1.29
0.0 -1.89 0.55 -1.34
0.0 -1.82 0.46 -1.36
0.0 -1.75 0.38 -1.37
0.0 -1.68 0.32 -1.36
0.0 -1.61 0.26 -1.35
0.0 -1.55 0.21 -1.34
0.0 -1.51 0.18 -1.34
0.0 -1.5 0.15 -1.35
-0.33 -1.97 0.9 -1.4
-0.33 -1.96 0.77 -1.51
-0.32 -1.92 0.66 -1.59
-0.31 -1.87 0.55 -1.62
-0.3 -1.8 0.46 -1.64
-0.29 -1.73 0.38 -1.63
-0.27 -1.65 0.32 -1.61
-0.26 -1.59 0.26 -1.59
-0.25 -1.53 0.21 -1.57
-0.25 -1.49 0.18 -1.57
-0.25 -1.48 0.15 -1.58
-0.64 -1.9 0.9 -1.64
-0.63 -1.89 0.77 -1.75
-0.62 -1.85 0.66 -1.82
-0.6 -1.8 0.55 -1.85
-0.58 -1.73 0.46 -1.85
-0.56 -1.66 0.38 -1.84
-0.53 -1.59 0.32 -1.81
-0.51 -1.53 0.26 -1.78
-0.5 -1.47 0.21 -1.76
-0.48 -1.44 0.18 -1.74
-0.48 -1.42 0.15 -1.75
-0.93 -1.78 0.9 -1.81
-0.92 -1.77 0.77 -1.91
-0.9 -1.73 0.66 -1.98
-0.88 -1.68 0.55 -2.01
-0.84 -1.62 0.46 -2.0
-0.81 -1.56 0.38 -1.98
-0.78 -1.49 0.32 -1.95
-0.74 -1.43 0.26 -1.92
-0.72 -1.38 0.21 -1.89
-0.7 -1.35 0.18 -1.87
-0.69 -1.33 0.15 -1.88
-1.19 -1.62 0.9 -1.91
-1.18 -1.61 0.77 -2.02
-1.16 -1.58 0.66 -2.08
-1.12 -1.53 0.55 -2.1
-1.08 -1.48 0.46 -2.1
-1.04 -1.42 0.38 -2.07
-1.0 -1.36 0.32 -2.03
-0.96 -1.3 0.26 -2.0
-0.92 -1.26 0.21 -1.96
-0.9 -1.23 0.18 -1.95
-0.89 -1.21 0.15 -1.95
-1.42 -1.42 0.9 -1.94
-1.41 -1.41 0.77 -2.05
-1.38 -1.38 0.66 -2.11
-1.34 -1.34 0.55 -2.13
-1.3 -1.3 0.46 -2.13
-1.24 -1.24 0.38 -2.1
-1.19 -1.19 0.32 -2.06
-1.14 -1.14 0.26 -2.02
-1.1 -1.1 0.21 -1.99
-1.07 -1.07 0.18 -1.97
-1.07 -1.07 0.15 -1.98
-1.62 -1.19 0.9 -1.91
-1.61 -1.18 0.77 -2.02
-1.58 -1.16 0.66 -2.08
-1.53 -1.12 0.55 -2.1
-1.48 -1.08 0.46 -2.1
-1.42 -1.04 0.38 -2.07
-1.36 -1.0 0.32 -2.03
-1.3 -0.96 0.26 -2.0
-1.26 -0.92 0.21 -1.96
-1.23 -0.9 0.18 -1.95
-1.21 -0.89 0.15 -1.95
-1.78 -0.93 0.9 -1.81
-1.77 -0.92 0.77 -1.91
-1.73 -0.9 0.66 -1.98
-1.68 -0.88 0.55 -2.01
-1.62 -0.84 0.46 -2.0
-1.56 -0.81 0.38 -1.98
-1.49 -0.78 0.32 -1.95
-1.43 -0.74 0.26 -1.92
-1.38 -0.72 0.21 -1.89
-1.35 -0.7 0.18 -1.87
-1.33 -0.69 0.15 -1.88
-1.9 -0.64 0.9 -1.64
-1.89 -0.63 0.77 -1.75
-1.85 -0.62 0.66 -1.82
-1.8 -0.6 0.55 -1.85
-1.73 -0.58 0.46 -1.85
-1.66 -0.56 0.38 -1.84
-1.59 -0.53 0.32 -1.81
-1.53 -0.51 0.26 -1.78
-1.47 -0.5 0.21 -1.76
-1.44 -0.48 0.18 -1.74
-1.42 -0.48 0.15 -1.75
-1.97 -0.33 0.9 -1.4
-1.96 -0.33 0.77 -1.51
-1.92 -0.32 0.66 -1.59
-1.87 -0.31 0.55 -1.62
-1.8 -0.3 0.46 -1.64
-1.73 -0.29 0.38 -1.63
-1.65 -0.27 0.32 -1.61
-1.59 -0.26 0.26 -1.59
-1.53 -0.25 0.21 -1.57
-1.49 -0.25 0.18 -1.57
-1.48 -0.25 0.15 -1.58
-2.0 0.0 0.9 -1.1
-1.99 0.0 0.77 -1.21
-1.95 0.0 0.66 -1.29
-1.89 0.0 0.55 -1.34
-1.82 0.0 0.46 -1.36
-1.75 0.0 0.38 -1.37
-1.68 0.0 0.32 -1.36
-1.61 0.0 0.26 -1.35
-1.55 0.0 0.21 -1.34
-1.51 0.0 0.18 -1.34
-1.5 0.0 0.15 -1.35
-2.0 0.0 0.9 -1.1
-1.99 0.0 0.77 -1.21
-1.95 0.0 0.66 -1.29
-1.89 0.0 0.55 -1.34
-1.82 0.0 0.46 -1.36
-1.75 0.0 0.38 -1.37
-1.68 0.0 0.32 -1.36
-1.61 0.0 0.26 -1.35
-1.55 0.0 0.21 -1.34
-1.51 0.0 0.18 -1.34
-1.5 0.0 0.15 -1.35
-1.97 0.33 0.9 -0.75
-1.96 0.33 0.77 -0.86
-1.92 0.32 0.66 -0.95
-1.87 0.31 0.55 -1.0
-1.8 0.3 0.46 -1.04
-1.73 0.29 0.38 -1.06
-1.65 0.27 0.32 -1.06
-1.59 0.26 0.26 -1.06
-1.53 0.25 0.21 -1.06
-1.49 0.25 0.18 -1.07
-1.48 0.25 0.15 -1.08
-1.9 0.64 0.9 -0.36
-1.89 0.63 0.77 -0.48
-1.85 0.62 0.66 -0.57
-1.8 0.6 0.55 -0.64
-1.73 0.58 0.46 -0.69
-1.66 0.56 0.38 -0.72
-1.59 0.53 0.32 -0.74
-1.53 0.51 0.26 -0.75
-1.47 0.5 0.21 -0.77
-1.44 0.48 0.18 -0.78
-1.42 0.48 0.15 -0.8
-1.78 0.93 0.9 0.05
-1.77 0.92 0.77 -0.08
-1.73 0.9 0.66 -0.18
-1.68 0.88 0.55 -0.25
-1.62 0.84 0.46 -0.32
-1.56 0.81 0.38 -0.36
-1.49 0.78 0.32 -0.4
-1.43 0.74 0.26 -0.43
-1.38 0.72 0.21 -0.45
-1.35 0.7 0.18 -0.47
-1.33 0.69 0.15 -0.49
-1.62 1.19 0.9 0.47
-1.61 1.18 0.77 0.34
-1.58 1.16 0.66 0.24
-1.53 1.12 0.55 0.15
-1.48 1.08 0.46 0.07
-1.42 1.04 0.38 0.01
-1.36 1.0 0.32 -0.04
-1.3 0.96 0.26 -0.09
-1.26 0.92 0.21 -0.12
-1.23 0.9 0.18 -0.15
-1.21 0.89 0.15 -0.17
-1.42 1.42 0.9 0.9
-1.41 1.41 0.77 0.77
-1.38 1.38 0.66 0.66
-1.34 1.34 0.55 0.55
-1.3 1.3 0.46 0.46
-1.24 1.24 0.38 0.38
-1.19 1.19 0.32 0.32
-1.14 1.14 0.26 0.26
-1.1 1.1 0.21 0.21
-1.07 1.07 0.18 0.18
-1.07 1.07 0.15 0.15
-1.19 1.62 0.9 1.33
-1.18 1.61 0.77 1.2
-1.16 1.58 0.66 1.08
-1.12 1.53 0.55 0.96
-1.08 1.48 0.46 0.86
-1.04 1.42 0.38 0.76
-1.0 1.36 0.32 0.68
-0.96 1.3 0.26 0.61
-0.92 1.26 0.21 0.55
-0.9 1.23 0.18 0.5
-0.89 1.21 0.15 0.47
-0.93 1.78 0.9 1.75
-0.92 1.77 0.77 1.62
-0.9 1.73 0.66 1.49
-0.88 1.68 0.55 1.36
-0.84 1.62 0.46 1.24
-0.81 1.56 0.38 1.13
-0.78 1.49 0.32 1.03
-0.74 1.43 0.26 0.95
-0.72 1.38 0.21 0.88
-0.7 1.35 0.18 0.82
-0.69 1.33 0.15 0.79
-0.64 1.9 0.9 2.16
-0.63 1.89 0.77 2.02
-0.62 1.85 0.66 1.89
-0.6 1.8 0.55 1.75
-0.58 1.73 0.46 1.61
-0.56 1.66 0.38 1.49
-0.53 1.59 0.32 1.37
-0.51 1.53 0.26 1.27
-0.5 1.47 0.21 1.19
-0.48 1.44 0.18 1.13
-0.48 1.42 0.15 1.1
-0.33 1.97 0.9 2.55
-0.33 1.96 0.77 2.41
-0.32 1.92 0.66 2.26
-0.31 1.87 0.55 2.11
-0.3 1.8 0.46 1.96
-0.29 1.73 0.38 1.82
-0.27 1.65 0.32 1.7
-0.26 1.59 0.26 1.58
-0.25 1.53 0.21 1.49
-0.25 1.49 0.18 1.42
-0.25 1.48 0.15 1.38
0.0 2.0 0.9 2.9
0.0 1.99 0.77 2.76
0.0 1.95 0.66 2.6
0.0 1.89 0.55 2.45
0.0 1.82 0.46 2.29
0.0 1.75 0.38 2.13
0.0 1.68 0.32 1.99
0.0 1.61 0.26 1.87
0.0 1.55 0.21 1.77
0.0 1.51 0.18 1.69
0.0 1.5 0.15 1.65
0.0 2.0 0.9 2.9
0.0 1.99 0.77 2.76
0.0 1.95 0.66 2.6
0.0 1.89 0.55 2.45
0.0 1.82 0.46 2.29
0.0 1.75 0.38 2.13
0.0 1.68 0.32 1.99
0.0 1.61 0.26 1.87
0.0 1.55 0.21 1.77
0.0 1.51 0.18 1.69
0.0 1.5 0.15 1.65
0.33 1.97 0.9 3.2
0.33 1.96 0.77 3.06
0.32 1.92 0.66 2.9
0.31 1.87 0.55 2.73
0.3 1.8 0.46 2.56
0.29 1.73 0.38 2.4
0.27 1.65 0.32 2.25
0.26 1.59 0.26 2.11
0.25 1.53 0.21 2.0
0.25 1.49 0.18 1.92
0.25 1.48 0.15 1.88
0.64 1.9 0.9 3.44
0.63 1.89 0.77 3.29
0.62 1.85 0.66 3.13
0.6 1.8 0.55 2.95
0.58 1.73 0.46 2.78
0.56 1.66 0.38 2.6
0.53 1.59 0.32 2.44
0.51 1.53 0.26 2.3
0.5 1.47 0.21 2.18
0.48 1.44 0.18 2.1
0.48 1.42 0.15 2.05
0.93 1.78 0.9 3.61
0.92 1.77 0.77 3.46
0.9 1.73 0.66 3.29
0.88 1.68 0.55 3.11
0.84 1.62 0.46 2.93
0.81 1.56 0.38 2.75
0.78 1.49 0.32 2.58
0.74 1.43 0.26 2.44
0.72 1.38 0.21 2.31
0.7 1.35 0.18 2.23
0.69 1.33 0.15 2.18
1.19 1.62 0.9 3.71
1.18 1.61 0.77 3.56
1.16 1.58 0.66 3.39
1.12 1.53 0.55 3.21
1.08 1.48 0.46 3.02
1.04 1.42 0.38 2.84
1.0 1.36 0.32 2.67
0.96 1.3 0.26 2.52
0.92 1.26 0.21 2.39
0.9 1.23 0.18 2.3
0.89 1.21 0.15 2.25
1.42 1.42 0.9 3.74
1.41 1.41 0.77 3.59
1.38 1.38 0.66 3.42
1.34 1.34 0.55 3.24
1.3 1.3 0.46 3.05
1.24 1.24 0.38 2.87
1.19 1.19 0.32 2.7
1.14 1.14 0.26 2.54
1.1 1.1 0.21 2.42
1.07 1.07 0.18 2.33
1.07 1.07 0.15 2.28
1.62 1.19 0.9 3.71
1.61 1.18 0.77 3.56
1.58 1.16 0.66 3.39
1.53 1.12 0.55 3.21
1.48 1.08 0.46 3.02
1.42 1.04 0.38 2.84
1.36 1.0 0.32 2.67
1.3 0.96 0.26 2.52
1.26 0.92 0.21 2.39
1.23 0.9 0.18 2.3
1.21 0.89 0.15 2.25
1.78 0.93 0.9 3.61
1.77 0.92 0.77 3.46
1.73 0.9 0.66 3.29
1.68 0.88 0.55 3.11
1.62 0.84 0.46 2.93
1.56 0.81 0.38 2.75
1.49 0.78 0.32 2.58
1.43 0.74 0.26 2.44
1.38 0.72 0.21 2.31
1.35 0.7 0.18 2.23
1.33 0.69 0.15 2.18
1.9 0.64 0.9 3.44
1.89 0.63 0.77 3.29
1.85 0.62 0.66 3.13
1.8 0.6 0.55 2.95
1.73 0.58 0.46 2.78
1.66 0.56 0.38 2.6
1.59 0.53 0.32 2.44
1.53 0.51 0.26 2.3
1.47 0.5 0.21 2.18
1.44 0.48 0.18 2.1
1.42 0.48 0.15 2.05
1.97 0.33 0.9 3.2
1.96 0.33 0.77 3.06
1.92 0.32 0.66 2.9
1.87 0.31 0.55 2.73
1.8 0.3 0.46 2.56
1.73 0.29 0.38 2.4
1.65 0.27 0.32 2.25
1.59 0.26 0.26 2.11
1.53 0.25 0.21 2.0
1.49 0.25 0.18 1.92
1.48 0.25 0.15 1.88
2.0 0.0 0.9 2.9
1.99 0.0 0.77 2.76
1.95 0.0 0.66 2.6
1.89 0.0 0.55 2.45
1.82 0.0 0.46 2.29
1.75 0.0 0.38 2.13
1.68 0.0 0.32 1.99
1.61 0.0 0.26 1.87
1.55 0.0 0.21 1.77
1.51 0.0 0.18 1.69
1.5 0.0 0.15 1.65
-1.6 0.0 2.03 0.42
-1.8 0.0 2.02 0.22
-1.98 0.0 2.02 0.04
-2.15 0.0 2.02 -0.13
-2.29 0.0 2.01 -0.28
-2.41 0.0 2.0 -0.42
-2.51 0.0 1.98 -0.54
-2.59 0.0 1.95 -0.65
-2.65 0.0 1.91 -0.74
-2.69 0.0 1.86 -0.83
-2.7 0.0 1.8 -0.9
-1.6 -0.08 2.03 0.35
-1.8 -0.08 2.03 0.15
-1.98 -0.08 2.03 -0.04
-2.15 -0.08 2.03 -0.21
-2.29 -0.08 2.02 -0.36
-2.42 -0.08 2.0 -0.5
-2.52 -0.08 1.98 -0.62
-2.6 -0.08 1.95 -0.73
-2.66 -0.08 1.91 -0.83
-2.7 -0.08 1.86 -0.91
-2.71 -0.08 1.8 -0.99
-1.59 -0.14 2.05 0.31
-1.8 -0.14 2.05 0.1
-1.99 -0.14 2.05 -0.09
-2.16 -0.14 2.04 -0.26
-2.31 -0.14 2.03 -0.42
-2.43 -0.14 2.02 -0.56
-2.54 -0.14 1.99 -0.69
-2.62 -0.14 1.96 -0.8
-2.68 -0.14 1.92 -0.91
-2.72 -0.14 1.87 -1.0
-2.73 -0.14 1.8 -1.08
-1.58 -0.19 2.07 0.31
-1.8 -0.19 2.07 0.09
-2.0 -0.19 2.07 -0.11
-2.17 -0.19 2.07 -0.29
-2.33 -0.19 2.06 -0.46
-2.46 -0.19 2.04 -0.61
-2.57 -0.19 2.01 -0.74
-2.65 -0.19 1.98 -0.86
-2.71 -0.19 1.93 -0.97
-2.75 -0.19 1.87 -1.07
-2.76 -0.19 1.8 -1.15
-1.56 -0.22 2.1 0.32
-1.8 -0.22 2.1 0.09
-2.0 -0.22 2.1 -0.12
-2.19 -0.22 2.1 -0.31
-2.35 -0.22 2.08 -0.48
-2.49 -0.22 2.07 -0.64
-2.6 -0.22 2.04 -0.78
-2.69 -0.22 2.0 -0.91
-2.75 -0.22 1.95 -1.02
-2.79 -0.22 1.88 -1.13
-2.81 -0.22 1.8 -1.22
-1.55 -0.22 2.14 0.36
-1.79 -0.23 2.14 0.12
-2.01 -0.23 2.13 -0.1
-2.21 -0.22 2.13 -0.3
-2.37 -0.22 2.12 -0.48
-2.52 -0.22 2.1 -0.65
-2.64 -0.23 2.06 -0.8
-2.73 -0.22 2.02 -0.93
-2.8 -0.22 1.96 -1.06
-2.84 -0.22 1.89 -1.17
-2.85 -0.22 1.8 -1.28
-1.54 -0.22 2.17 0.42
-1.79 -0.22 2.17 0.16
-2.02 -0.22 2.17 -0.07
-2.22 -0.22 2.16 -0.28
-2.4 -0.22 2.15 -0.47
-2.55 -0.22 2.12 -0.64
-2.67 -0.22 2.09 -0.8
-2.77 -0.22 2.04 -0.94
-2.84 -0.22 1.98 -1.07
-2.88 -0.22 1.9 -1.2
-2.89 -0.22 1.8 -1.31
-1.52 -0.19 2.2 0.49
-1.79 -0.19 2.2 0.22
-2.03 -0.19 2.2 -0.02
-2.24 -0.19 2.19 -0.24
-2.42 -0.19 2.18 -0.44
-2.58 -0.19 2.15 -0.62
-2.71 -0.19 2.11 -0.78
-2.81 -0.19 2.06 -0.93
-2.88 -0.19 2.0 -1.07
-2.92 -0.19 1.91 -1.2
-2.94 -0.19 1.8 -1.32
-1.51 -0.14 2.23 0.57
-1.79 -0.14 2.23 0.3
-2.03 -0.14 2.22 0.05
-2.25 -0.14 2.22 -0.18
-2.44 -0.14 2.2 -0.39
-2.6 -0.14 2.17 -0.57
-2.73 -0.14 2.13 -0.74
-2.84 -0.14 2.08 -0.9
-2.91 -0.14 2.01 -1.05
-2.95 -0.14 1.92 -1.18
-2.97 -0.14 1.8 -1.31
-1.5 -0.08 2.24 0.66
-1.79 -0.08 2.24 0.38
-2.04 -0.08 2.24 0.12
-2.26 -0.08 2.23 -0.11
-2.46 -0.08 2.22 -0.32
-2.62 -0.08 2.19 -0.51
-2.75 -0.08 2.15 -0.69
-2.86 -0.08 2.09 -0.85
-2.93 -0.08 2.02 -1.0
-2.98 -0.08 1.92 -1.14
-2.99 -0.08 1.8 -1.27
-1.5 0.0 2.25 0.75
-1.78 0.0 2.25 0.46
-2.04 0.0 2.25 0.21
-2.26 0.0 2.24 -0.03
-2.46 0.0 2.22 -0.24
-2.62 0.0 2.19 -0.43
-2.76 0.0 2.15 -0.61
-2.86 0.0 2.1 -0.77
-2.94 0.0 2.02 -0.92
-2.98 0.0 1.92 -1.06
-3.0 0.0 1.8 -1.2
-1.5 0.0 2.25 0.75
-1.79 0.0 2.25 0.46
-2.04 0.0 2.25 0.21
-2.27 0.0 2.24 -0.03
-2.46 0.0 2.22 -0.24
-2.63 0.0 2.19 -0.43
-2.76 0.0 2.15 -0.61
-2.86 0.0 2.1 -0.77
-2.94 0.0 2.02 -0.92
-2.99 0.0 1.92 -1.06
-3.0 0.0 1.8 -1.2
-1.5 0.08 2.24 0.82
-1.79 0.08 2.24 0.54
-2.04 0.08 2.24 0.28
-2.26 0.08 2.23 0.05
-2.46 0.08 2.22 -0.16
-2.62 0.08 2.19 -0.35
-2.75 0.08 2.15 -0.52
-2.86 0.08 2.09 -0.68
-2.93 0.08 2.02 -0.83
-2.98 0.08 1.92 -0.98
-2.99 0.08 1.8 -1.11
-1.51 0.14 2.23 0.86
-1.79 0.14 2.23 0.58
-2.03 0.14 2.22 0.33
-2.25 0.14 2.22 0.11
-2.44 0.14 2.2 -0.1
-2.6 0.14 2.17 -0.29
-2.73 0.14 2.13 -0.46
-2.84 0.14 2.08 -0.61
-2.91 0.14 2.01 -0.76
-2.95 0.14 1.92 -0.89
-2.97 0.14 1.8 -1.02
-1.52 0.19 2.2 0.87
-1.79 0.19 2.2 0.6
-2.03 0.19 2.2 0.36
-2.24 0.19 2.19 0.14
-2.42 0.19 2.18 -0.06
-2.58 0.19 2.15 -0.24
-2.71 0.19 2.11 -0.4
-2.81 0.19 2.06 -0.55
-2.88 0.19 2.0 -0.69
-2.92 0.19 1.91 -0.82
-2.94 0.19 1.8 -0.95
-1.54 0.22 2.17 0.85
-1.79 0.22 2.17 0.6
-2.02 0.22 2.17 0.36
